epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.343,1.77868,1.28885,1.50538,0.74904,0.54206,0.65093,0.29155,1.90524,1.2497,1.50514,0.000199873,0.000199873,0.0802126
2,198.685,1.70613,1.21185,1.4772,0.7569,0.56354,0.6759,0.32787,1.80985,1.12409,1.4506,0.000399601,0.000399601,0.0604123
3,100.828,1.67358,1.17432,1.46178,0.75656,0.5624,0.67985,0.37853,1.56544,1.0782,1.34645,0.000598246,0.000598246,0.040611
4,205.216,1.64398,1.14844,1.44376,0.76823,0.58835,0.69864,0.36524,1.65165,1.05856,1.38784,0.000794998,0.000794998,0.0208077
5,310.51,1.64894,1.14769,1.44753,0.77137,0.59198,0.70255,0.39477,1.55706,1.01423,1.34232,0.000989057,0.000989057,0.00100179
6,420.609,1.62669,1.1297,1.43088,0.76942,0.59673,0.70498,0.37925,1.59131,1.03838,1.36168,0.000983133,0.000983133,0.000983133
7,545.714,1.58867,1.09658,1.41618,0.76806,0.60049,0.7072,0.3939,1.55544,1.01236,1.33333,0.000975773,0.000975773,0.000975773
8,650.076,1.57576,1.08404,1.4084,0.78355,0.58404,0.70614,0.41193,1.4925,0.994,1.31891,0.000967122,0.000967122,0.000967122
9,758.867,1.57386,1.07668,1.39693,0.77541,0.60737,0.72065,0.40696,1.53733,0.9818,1.31604,0.000957205,0.000957205,0.000957205
10,865.662,1.55399,1.05799,1.38645,0.76694,0.61355,0.72151,0.42058,1.4813,0.95384,1.29967,0.000946048,0.000946048,0.000946048
11,972.9,1.54771,1.05395,1.38375,0.7764,0.60211,0.71606,0.42868,1.4436,0.9531,1.28648,0.000933683,0.000933683,0.000933683
12,1078.65,1.53897,1.0467,1.3812,0.77813,0.61392,0.72692,0.42593,1.46669,0.9389,1.29244,0.000920142,0.000920142,0.000920142
13,1184.71,1.53877,1.0383,1.37326,0.77327,0.61564,0.72688,0.43152,1.44006,0.9418,1.27939,0.000905463,0.000905463,0.000905463
14,1291.29,1.52243,1.03215,1.37008,0.77362,0.6198,0.7315,0.4319,1.44432,0.93911,1.28159,0.000889687,0.000889687,0.000889687
15,1396.27,1.52903,1.02944,1.36811,0.77839,0.62416,0.73379,0.43556,1.43378,0.92753,1.2769,0.000872857,0.000872857,0.000872857
16,1502.03,1.50486,1.01456,1.35882,0.77513,0.61643,0.72867,0.43334,1.44764,0.92922,1.27631,0.000855018,0.000855018,0.000855018
17,1608.83,1.50699,1.01234,1.35702,0.78324,0.6203,0.73235,0.43654,1.43252,0.91454,1.2721,0.00083622,0.00083622,0.00083622
18,1716.05,1.49108,1.0007,1.34866,0.77784,0.626,0.73756,0.44269,1.41424,0.91161,1.26356,0.000816514,0.000816514,0.000816514
19,1820.57,1.49773,1.00012,1.35173,0.77802,0.62036,0.73185,0.43709,1.42277,0.91775,1.27826,0.000795954,0.000795954,0.000795954
20,1926.31,1.48299,0.98701,1.34343,0.77986,0.62631,0.73739,0.44222,1.42058,0.89763,1.26322,0.000774596,0.000774596,0.000774596
21,2028.99,1.48237,0.98553,1.33895,0.7825,0.62828,0.73765,0.44444,1.40656,0.89907,1.259,0.0007525,0.0007525,0.0007525
22,2131.89,1.48365,0.9839,1.34031,0.78076,0.63441,0.74465,0.44879,1.41396,0.89315,1.254,0.000729725,0.000729725,0.000729725
23,2236.52,1.46947,0.97859,1.33532,0.78504,0.6298,0.74265,0.44867,1.39544,0.88767,1.24862,0.000706335,0.000706335,0.000706335
24,2339.13,1.46238,0.97029,1.32903,0.78862,0.61935,0.739,0.44909,1.39482,0.89276,1.24719,0.000682392,0.000682392,0.000682392
25,2438.18,1.45425,0.96394,1.32459,0.78316,0.63145,0.74295,0.44834,1.39838,0.88011,1.25392,0.000657963,0.000657963,0.000657963
26,2535.08,1.45446,0.96594,1.3248,0.78301,0.62762,0.74271,0.4493,1.38653,0.88408,1.2518,0.000633115,0.000633115,0.000633115
27,2632.24,1.4469,0.9545,1.31811,0.78502,0.64156,0.74998,0.45673,1.3846,0.87766,1.24127,0.000607916,0.000607916,0.000607916
28,2729.04,1.44412,0.95142,1.31726,0.78371,0.63763,0.74876,0.45491,1.38596,0.86839,1.24531,0.000582435,0.000582435,0.000582435
29,2825.11,1.44015,0.94514,1.31159,0.78464,0.63681,0.74891,0.45888,1.37703,0.87472,1.23402,0.000556742,0.000556742,0.000556742
30,2924.32,1.43272,0.94328,1.31071,0.78655,0.63591,0.75002,0.45717,1.37807,0.87088,1.23593,0.000530906,0.000530906,0.000530906
31,3019.85,1.42836,0.93901,1.30725,0.7872,0.63221,0.74611,0.45827,1.37074,0.86663,1.2358,0.000505,0.000505,0.000505
